13700,1950 
-12853,207 
-364655,9573 
606606,82914 
1438,559 
14133,1814 
132612,10437 
94152,7448 
21304,973 
184845,27973 
23649,1956 
23066,2149 
38429,6867 
46278,5334 
55413,7302 
1867,1229 
102292,34861 
20488,1748 
66974,11191 
20648,2258 
13694,5736 
344,1739 
8983,1401 
817,40 
2817,401 
13140,1470 
9608,1783 
7358,563 
2512,251 
2039,631 
-514,1435 
9364,1729 
13175,1515 
29087,2862 
39899,4214 
52375,5461 
85001,20506 
-7629,17029 
41394,2647 
66672,5180 
56515,3799 
9,502 
-672,667 
497,71 
-6299,1351 
4235,851 
4621,1519 
14207,1359 
7918,1109 
42501,3064 
101705,7637 
13229,1921 
4339,1220 
14849,1302 
102929,8946 
1201169,184538 
18004,3603 
2616,479 
231100,38028 
32072,3253 
27802,2723 
3152,547 
64237,5759 
55295,7575 
1665,355 
50674,4606 
47110,3479 
216992,24275 
470657,129885 
174992,22696 
46811,5672 
97667,10529 
14714,1600 
15125,1432 
301247,33615 
24346,2418 
56222,24930 
42237,3973 
9589,599 
28369,3505 
7969,954 
16547,1780 
53455,10852 
46787,5308 
1682,1110 
24153,2899 
52425,5120 
-57225,968 
13207,3116 
-62903,9478 
118853,27447 
19728,2611 
4068,667 
67140,6239 
-1245,433 
143697,33740 
80093,11624 
16640,986 
31878,2556 
-3891,2357 
43863,4090 
11159,970 
912281,94118 
40650,4980 
38568,4714 
50965,4049 
22159,3598 
8378,2093 
50756,5069 
8460,1658 
1689,606 
-22775,20870 
4014,526 
3826,5643 
74679,8172 
63628,8498 
15721,2425 
102187,9133 
136154,18170 
23499,2971 
67572,9156 
45974,5520 
-1307,1238 
17437,1414 
126935,10348 
580624,134002 
49557,8818 
-373,1528 
49579,4327 
-5223,2470 
342194,23303 
6201,3834 
76559,5431 
63404,6545 
65456,6152 
115050,14413 
1011,818 
-10565,3441 
101066,13273 
136547,23295 
87321,4315 
66455,8114 
120074,7099 
-1513,1243 
14865,5270 
26486,5290 
70413,8821 
307664,20642 
96036,9807 
289483,39809 
26010,2302 
5314,10968 
15609,1937 
52759,5400 
13674,1758 
32260,3521 
46490,4654 
80924,8626 
33411,5842 
46468,13884 
9449,471 
4350429,714758 
2253,180 
67986,4945 
6388,632 
47651,4616 
26559,3602 
191051,16868 
78883,6243 
9994,1859 
42649,6742 
